date,5. volume,4. close,2. high,1. open,3. low
2013-11-07,117701600.0,44.9,50.09,45.1,44.0
2013-11-08,27925300.0,41.65,46.94,45.93,40.685
2013-11-11,16113900.0,42.9,43.0,40.5,39.4
2013-11-12,6316700.0,41.9,43.78,43.66,41.83
2013-11-13,8688300.0,42.6,42.87,41.03,40.76
2013-11-14,11099400.0,44.69,45.67,42.34,42.24
2013-11-15,8010600.0,43.98,45.27,45.25,43.43
2013-11-18,12810600.0,41.14,43.95,43.5,40.85
2013-11-19,7436600.0,41.75,41.9,41.39,40.0
2013-11-20,5767300.0,41.05,41.75,41.4,40.51
2013-11-21,8324700.0,42.06,42.49,41.25,40.37
2013-11-22,6185200.0,41.0,42.28,41.81,40.97
2013-11-25,14333300.0,39.06,41.14,41.08,38.8
2013-11-26,9828400.0,40.18,40.55,39.16,38.92
2013-11-27,5536300.0,40.9,41.4,40.47,40.35
2013-11-29,4107000.0,41.57,41.58,41.4,40.9
2013-12-02,6424300.0,40.78,42.0,41.79,40.4
2013-12-03,5771000.0,41.37,41.6,40.69,40.54
2013-12-04,11014900.0,43.69,43.92,41.27,41.27
2013-12-05,11729400.0,45.62,46.35,43.45,42.83
2013-12-06,6230000.0,44.95,45.8,45.75,44.54
2013-12-09,17366600.0,49.14,49.84,45.59,45.02
2013-12-10,25792000.0,51.99,52.58,48.9,48.7
2013-12-11,26631500.0,52.34,53.87,52.4,51.0
2013-12-12,23446900.0,55.33,55.87,52.2,50.69
2013-12-13,38979600.0,59.0,59.41,56.2,55.45
2013-12-16,39310800.0,56.61,60.24,57.86,55.76
2013-12-17,22115200.0,56.45,57.38,56.97,54.62
2013-12-18,16659800.0,55.51,57.0,57.0,54.23
2013-12-19,13152500.0,57.49,57.75,55.08,55.0
2013-12-20,26207400.0,60.01,60.25,58.51,58.01
2013-12-23,22163800.0,64.54,64.99,59.85,59.7
2013-12-24,35802700.0,69.96,70.87,66.34,65.56
2013-12-26,82761100.0,73.31,74.73,72.88,69.1301
2013-12-27,60418700.0,63.75,71.25,70.1,63.69
2013-12-30,55538300.0,60.51,63.71,60.27,58.57
2013-12-31,27814600.0,63.65,65.22,62.36,61.65
2014-01-02,29246400.0,67.5,67.5,65.0,64.4
2014-01-03,33207200.0,69.0,70.43,69.0,68.432
2014-01-06,27243700.0,66.29,66.87,64.83,63.5
2014-01-07,31748400.0,61.46,67.73,67.67,61.39
2014-01-08,27263200.0,59.29,61.26,58.71,57.92
2014-01-09,31092100.0,57.05,60.81,59.54,55.59
2014-01-10,22375900.0,57.0,58.76,57.5,55.87
2014-01-13,20978100.0,57.82,60.38,59.98,57.294
2014-01-14,14778000.0,58.21,59.02,58.88,57.36
2014-01-15,21537300.0,61.57,61.75,59.11,58.32
2014-01-16,16589400.0,60.57,62.4,61.45,60.46
2014-01-17,28391100.0,62.2,64.69,63.6,61.59
2014-01-21,13733200.0,62.53,63.44,63.33,61.5
2014-01-22,12039000.0,62.44,63.8,63.11,61.76
2014-01-23,10183700.0,62.8,62.81,61.45,60.88
2014-01-24,12942200.0,61.74,63.62,62.17,61.3
2014-01-27,18982700.0,57.91,61.77,61.77,56.1
2014-01-28,9346800.0,60.44,60.85,57.44,57.35
